NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
395,Newly House dekat Taman Akses JALAN 2 MOBIl bentuk tanah NGANTONG di Tebet Barat,4950000000,225,110,5,4,2
396,Rumah Cantik 3 Lt Semi FURNISH di Tebet Utara,2600000000,210,91,5,3,1
397,Rumah siap huni di Tebet - RPA,8500000000,550,440,8,5,5
398,Brand New Rumah Soho Tebet,8750000000,180,137,4,4,2
399,"Rumah Brand New Siap Huni Tebet Timur Dalam, Dekat Pspt",3900000000,200,130,3,3,1
400,Di jual rumah siap huni model classic di tebet menteng dalem jakarta selatan,6100000000,390,130,7,6,3
401,Rumah Cantik Tebet Jaksel. Dekat Cbd Kuningan Dan Mal Kokas,2500000000,150,90,3,2,1
402,Dijual Rumah Siap Huni di Tebet Jakarta Selatan,3500000000,350,100,4,4,2
403,"Rumah Klasik SUPER MEWAH Semi Furnished Tebet Timur, Jakarta Selatan",30900000000,1000,670,8,6,4
404,"Rumah Tua HITUNG TANAH TERMURAH di Area Komersial Jl. Johar, Menteng",55000000000,400,1075,4,3,4
405,"Rumah Tua Strategis Dijual Hitung Tanah Di Tebet, Jakarta Selatan",3500000000,225,360,4,2,1
406,Dekat Rumah Sakit Tebet Dan Gelael,3500000000,200,145,8,8,3
407,TEBET Rumah Jual Hitung Tanah Jalan Tiga Mobil Lebar,4500000000,150,200,3,2,2
408,"Rumah Lama Di Prime Area Tebet, Komersial",55000000000,1126,1224,4,4,2
409,Rumah Di Area Komersial Tebet Raya,22000000000,300,520,4,4,3
410,"Rumah Cantik Brand New, Tersisa 2 Unit",3200000000,150,86,5,4,2
411,"TEBET - Rumah Baru, Design Menarik di Tengah Kota Jakarta",6500000000,300,173,4,4,2
412,"Rumah di Tebet Timur Jalan 1 Mobil Lebar, Luas Tanah 135 m2",1900000000,130,135,5,2,1
413,"TEBET - Sangat Terawat, Area Tenang di Depan Taman",5990000000,350,220,5,5,2
414,"DIJUAL Cepat Rumah Baru Siap Huni Full Furnish, Tebet Barat",5500000000,300,173,4,4,2
415,"Tebet rumah mewah prime lokasi, jakarta selatan",16500000000,800,361,7,5,6
416,Rumah luas kolam renang di Tebet Jakarta Selatan,23000000000,700,619,5,5,10
417,Rumah jual tebet jl 2mobil 4. 5mly,4499999744,250,140,5,4,2
418,Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan 1 Mobil,3500000000,150,135,3,3,2
419,Dijual Rumah Baru Siap Huni Depan Taman Tebet,6000000000,220,150,4,4,2
420,"Rumah baru 100%, Tebet, Jakarta Selatan",3600000000,154,110,3,3,2
421,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4300000000,180,135,4,4,2
422,TEBET Rumah Mewah Terawat Dekat Jalan Soepomo,7900000000,380,225,5,4,2
423,Dijual Rumah Di Asem Barus Tebet,27000000512,350,1069,4,4,5
424,"Dijual Rumah Di Barat Asem Baris,Kebun Baru",5000000000,320,150,5,5,3
425,Rumah Didalam Kompleks Tebet,4900000000,280,170,5,4,3
426,Dijual Rumah Tebet Depan Taman Asri Jalan Muat 2 Mobil,3700000000,130,130,3,3,2
427,Rumah Tebet Asam Baris,2900000000,160,160,3,3,1
428,Rumah Tebet Barat,3700000000,175,89,3,3,2
429,Dijual Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil,3600000000,100,180,4,2,1
430,Dijual Rumah Hitung Tanah Tebet Utara IV,2333333000,80,90,2,2,1
431,Rumah Mewah Brand New Di Menteng Dalam Tebet Jakarta Selatan,25000000000,890,271,5,6,3
432,"TEBET - Rumah Bagus, Jalan 1 Mobil, Siap Huni",6500000000,275,150,4,5,1
433,"TEBET - RUMAH BARU, Design Bagus",6500000000,270,140,3,3,4
434,"Tebet-Area Komersi, Jalan 3 Mobil Lebar",22000000000,300,520,5,4,3
435,"TEBET - SIAP HUNI, Jalan 1 Mobil",2850000000,102,96,3,2,2
436,"TEBET - RUMAH BARU, Jalan 3 Mobil Lebar",30000000000,900,672,5,6,4
437,rumah second tebet,25000000000,350,565,4,4,4
438,Rumah Hitung Tanah Di Gudang Peluru,4000000000,194,194,3,3,1
439,Dijual Rmh Secont Tebet,6000000000,250,141,4,4,3
440,"Rumah Dekat Pusat Kota Selangkah Menuju Terminal Kampung Melayu, Stasiun Tebet Dan Kota Casablanca",2600000000,147,154,4,3,1
441,Rumah baru 2 lantai di Tebet timur,3500000000,170,112,3,4,2
442,Di Jual Rmh Tbt Siap Huni,12500000000,600,208,4,5,3
443,Rumah bagus dekat taman dan pasar pspt siap huni acces mudah kemana saja,3950000000,260,133,5,5,2
444,Rumah Tebet Timur Dalam,2300000000,100,140,3,2,1
445,Jual Rumah 2 Lantai Di Tebet Jakarta Selatan,4000000000,216,135,5,4,1
446,Rumah Mewah Siap huni Tebet,29000000000,900,672,5,6,4
447,"For Sale British Tuscan House At Tebet Mas, Jaksel",37000000000,500,720,5,5,2
448,Hunian Nyaman Di Gudang Peluru,8000000000,382,404,6,3,1
449,"Rumah Siap Huni 2 Lantai,Lokasi Strategis Menteng Dalam Tebet Jaksel",5000000000,180,127,4,4,2
450,TEBET Rumah Lama Hitung Tanah Bangunan Masih Layak Huni,7200000000,200,256,5,3,2
451,Rumah Mewah Dijual Tebet Jakarta Selatan,17500000000,800,365,5,4,6
452,Dijual rumah mewah tebet barat,14800000000,500,310,4,4,4
453,Rumah Tebet segera jual,3750000000,196,196,7,5,2
454,Rumah Baru Lux siap huni strategis di Menteng Dalam Tebet Jakarta Selatan,6200000000,390,130,7,6,3
455,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4000000000,200,160,5,4,2
456,"Tebet Barat Rumah Full Furnished, Jakarta Selatan",6200000000,251,140,5,4,5
457,Dijual Rumah Pinggir Jalan Di Asem Baris Tebet Jakarta Selatan,8000000000,252,200,4,3,2
458,Dijual Rumah Mewah Lokasi Strategis Di Tebet Barat Jakarta Selatan,8800000000,400,230,5,5,3
459,Rumah Siap Huni Di Tebet Jakarta Selatan,3200000000,150,80,5,5,1
460,Dijual Rumah Tebet Raya Lokasi Premium Area Komersial Jalan Raya,18500000000,300,520,4,3,3
461,TEBET TIMUR - RUMAH MEWAH CLASSIC MODERN,18500000000,800,361,5,4,4
462,Dijual Rumah Lux Tebet Jakarta Selatan,16000000000,140,246,6,6,1
463,"Rumah Jual Hitung Tanah, Tebet Timur",5999999999,240,240,4,4,3
464,Rumah Dijual Hitung Tanah Di Tebet Barat,8555555555,304,304,3,2,3
465,"TEBET - Rumah Bagus, Terawat, Dekat ke Kuningan",4600000000,215,135,9,8,2
466,TEBET - Siap Huni,4700000000,222,145,4,3,2
467,Dijual Rumah Siap Huni BU di Kebon Baru Tebet Jakarta Timur,2500000000,165,135,4,3,1
468,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil,8500000000,260,256,4,3,4
469,"Rumah Jl. Rasamala Menteng Dalam, Hitung Tanah",5100000000,200,305,5,2,3
470,Dijual rumah second Tebet Jakarta Selatan berada dalam lingkungan aman,8000000000,330,240,5,5,3
471,Dijual Rumah Di Kebon Baru Tebet,3975000000,325,226,6,5,1
472,Rumah tebet timur dalam,5800000000,340,173,5,4,2
473,Rumah Mewah Siap Huni Di Tebet,5500000000,420,210,6,5,2
474,Rumah Asri Dan Sangat Strategis Di Tebet,4500000000,120,154,6,4,1
475,Rumah Tebet utara,2700000000,94,78,3,2,1
476,Rumah Second Fully Furnish Siap Huni Turun Harga BU Di Menteng Dalam Tebet Jakarta Selatan,4300000000,180,127,4,4,2
477,Dijual Rumah Minimalist Modern 3lnt Tebet,3700000000,150,90,4,4,3
478,Dijual Rumah 2 Lnt Tebet,3800000000,200,130,4,4,2
479,Dijual rumah kos tebet,2600000000,200,135,10,3,2
480,Dijual Rumah Kondisi Layak Huni Tebet,4200000000,400,225,5,4,2
481,Tebet Timur Area Tenang dan Nyaman,2600000000,120,90,3,2,1
482,Rumah Siap Huni Tebet Barat,22000000000,400,650,7,4,4
